57155	85971	85972	0
57239	86229	86228	0
57243	86237	86236	0
57259	86280	86281	0
57301	86398	86397	0
57302	86400	86399	0
57313	86420	86419	0
57314	86422	86421	0
57348	86511	87165	0
57351	86517	86518	0
57375	86593	86594	0
57383	86618	86619	0
57384	86621	86620	0
57385	86624	86622	0
57386	86626	86627	0
57392	86640	86641	0
57398	86658	86659	0
57399	86662	86663	0
57423	86755	86754	0
57427	86766	86765	0
57431	86778	86776	0
57432	86780	86779	0
57434	86785	86784	0
57436	86789	86788	0
57446	86831	86828	0
57450	86846	86844	0
57462	86888	86902	0
57466	86906	86904	0
57468	86911	86910	0
57469	86913	86912	0
57471	86917	86916	0
57480	86935	86936	0
57488	86962	86963	0
57489	86964	86965	0
57491	86969	86970	0
57508	87024	87023	0
57509	87025	87026	0
57513	87038	87039	0
57515	87045	87046	0
57516	87049	87050	0
57517	87051	87052	0
57518	87053	87054	0
57521	87065	87066	0
57527	87084	87082	0
57540	87129	87130	0
57542	87135	87136	0
57544	87141	87142	0
57546	87149	87150	0
57547	87155	87156	0
57549	87161	87162	0
57551	87167	87168	0
57552	87169	87170	0
57553	87171	87172	0
57555	87177	87178	0
57558	87183	87184	0
57559	87188	87187	0
57564	87207	87206	0
57568	87223	87224	0
57570	87227	87228	0
57572	87231	87232	0
57573	87233	87234	0
57574	87235	87236	0
57575	87237	87238	0
57576	87242	87243	0
57577	87244	87245	0
57585	87255	87256	0
57586	87259	87260	0
57588	87263	87264	0
57589	87265	87316	0
57590	87267	87312	0
57592	87271	87272	0
57598	87301	87595	0
57618	87352	87353	0
57620	87356	87357	0
57623	87362	87363	0
57630	87382	87383	0
57631	87384	87385	0
57635	87398	87399	0
57636	87400	87401	0
57639	87407	87408	0
57641	87416	87417	0
57643	87422	87423	0
57646	87432	87433	0
57647	87434	87435	0
57648	87437	87438	0
57649	87439	87440	0
57650	87442	87443	0
57653	87448	87479	0
57659	87459	87460	0
57660	87461	87462	0
57667	87496	87497	0
57676	87519	87518	0
57677	87520	87525	0
57678	87523	87524	0
57682	87537	87538	0
57683	87540	87567	0
57684	87542	87543	0
57685	87545	87546	0
57688	87551	87552	0
57689	87556	87557	0
57693	87576	87583	0
